
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 150, Time: 1.07543, Systemstep: 0.00246094

Begin Step 151, Time: 1.07789, Systemstep: 0.00246094

Begin Step 152, Time: 1.08035, Systemstep: 0.00246094

Begin Step 153, Time: 1.08281, Systemstep: 0.00246094

Begin Step 154, Time: 1.08404, Systemstep: 0.00123047

Begin Step 155, Time: 1.08527, Systemstep: 0.00123047

Begin Step 156, Time: 1.0865, Systemstep: 0.00123047

Begin Step 157, Time: 1.08773, Systemstep: 0.00123047

Begin Step 158, Time: 1.08896, Systemstep: 0.00123047

Begin Step 159, Time: 1.0902, Systemstep: 0.00123047

Begin Step 160, Time: 1.09143, Systemstep: 0.00123047

Begin Step 161, Time: 1.09266, Systemstep: 0.00123047

Begin Step 162, Time: 1.09389, Systemstep: 0.00123047

Begin Step 163, Time: 1.09512, Systemstep: 0.00123047

Begin Step 164, Time: 1.09635, Systemstep: 0.00123047

Begin Step 165, Time: 1.09758, Systemstep: 0.00123047

Begin Step 166, Time: 1.09881, Systemstep: 0.00123047

Begin Step 167, Time: 1.10004, Systemstep: 0.00123047

Begin Step 168, Time: 1.10127, Systemstep: 0.00123047

Begin Step 169, Time: 1.1025, Systemstep: 0.00123047

Begin Step 170, Time: 1.10373, Systemstep: 0.00123047

Begin Step 171, Time: 1.10496, Systemstep: 0.00123047

Begin Step 172, Time: 1.10619, Systemstep: 0.00123047

Begin Step 173, Time: 1.10742, Systemstep: 0.00123047

Begin Step 174, Time: 1.10865, Systemstep: 0.00123047

Begin Step 175, Time: 1.10988, Systemstep: 0.00123047

Begin Step 176, Time: 1.11111, Systemstep: 0.00123047

Begin Step 177, Time: 1.11234, Systemstep: 0.00123047

Begin Step 178, Time: 1.11357, Systemstep: 0.00123047

Begin Step 179, Time: 1.1148, Systemstep: 0.00123047

Begin Step 180, Time: 1.11604, Systemstep: 0.00123047

Begin Step 181, Time: 1.11727, Systemstep: 0.00123047

Begin Step 182, Time: 1.1185, Systemstep: 0.00123047

Begin Step 183, Time: 1.11973, Systemstep: 0.00123047

Begin Step 184, Time: 1.12096, Systemstep: 0.00123047

